iter	RMSE
0	0.4791846853
1	0.4682154695
2	0.4573505104
3	0.4477639465
4	0.4399486741
5	0.4329466932
6	0.4268306418
7	0.4213103812
8	0.4168400286
9	0.4142843907
10	0.4104263971
11	0.4073651461
12	0.4036803802
13	0.4006789837
14	0.3990607442
15	0.3966446496
16	0.394297533
17	0.3926136869
18	0.3910663473
19	0.3895305381
20	0.3880146973
21	0.3866061254
22	0.3857932987
23	0.3845283371
24	0.3829505401
25	0.3819814481
26	0.3809251587
27	0.3796717876
28	0.3789463866
29	0.3781636166
30	0.3772356612
31	0.3765494487
32	0.3757248384
33	0.3751728569
34	0.3744139931
35	0.3735143643
36	0.3731069698
37	0.3726225297
38	0.3720915164
39	0.3717657364
40	0.3713352545
41	0.3705512896
42	0.3699364783
43	0.3693906614
44	0.368982658
45	0.3680338695
46	0.3676379605
47	0.3669057349
48	0.366572636
49	0.3665454199
50	0.366262645
51	0.3658208444
52	0.3652121907
53	0.364770858
54	0.3640875472
55	0.3638276188
56	0.3634528439
57	0.3631241827
58	0.3629332256
59	0.3625053071
60	0.3622273295
61	0.3620108424
62	0.361750807
63	0.3611523482
64	0.3606694436
