iter	Passed	Remaining
0	7	7327
1	10	5415
2	15	5082
3	18	4575
4	22	4415
5	25	4248
6	28	4038
7	30	3826
8	33	3708
9	37	3687
10	40	3635
11	43	3577
12	46	3514
13	49	3468
14	53	3493
15	56	3476
16	59	3446
17	62	3409
18	65	3373
19	70	3431
20	72	3402
21	75	3375
22	79	3360
23	82	3350
24	87	3424
25	91	3423
26	95	3440
27	100	3481
28	104	3502
29	107	3466
30	111	3472
31	117	3544
32	122	3583
33	127	3636
34	131	3629
35	135	3627
36	140	3655
37	143	3636
38	146	3619
39	149	3596
40	152	3577
41	156	3558
42	159	3551
43	162	3531
44	165	3513
45	168	3495
46	171	3479
47	174	3467
48	178	3465
49	181	3455
50	185	3446
51	188	3434
52	192	3437
53	195	3426
54	198	3416
55	202	3412
56	207	3425
57	211	3435
58	214	3428
59	219	3442
60	223	3433
61	227	3437
62	230	3424
63	234	3435
64	237	3423
65	242	3427
66	245	3413
67	249	3425
68	252	3412
69	256	3401
70	259	3390
71	262	3377
72	265	3365
73	267	3353
74	271	3342
75	274	3332
76	277	3322
77	280	3310
78	283	3300
79	286	3290
80	290	3300
81	294	3293
82	297	3287
83	300	3278
84	304	3280
85	307	3270
86	310	3260
87	314	3254
88	317	3245
89	320	3236
90	323	3227
91	326	3219
92	329	3211
93	333	3210
94	336	3200
95	339	3201
96	343	3196
97	346	3188
98	349	3179
99	352	3170
100	355	3163
101	359	3160
102	362	3155
103	365	3149
104	370	3159
105	373	3154
106	377	3151
107	380	3146
108	383	3138
109	389	3148
110	394	3156
111	396	3140
112	399	3134
113	402	3127
114	405	3118
115	410	3128
116	413	3121
117	416	3113
118	419	3107
119	423	3108
120	427	3105
121	430	3097
122	433	3092
123	436	3086
124	441	3087
125	445	3089
126	448	3083
127	451	3076
128	455	3073
129	459	3074
130	462	3067
131	465	3063
132	469	3058
133	476	3076
134	479	3069
135	482	3062
136	487	3070
137	492	3077
138	495	3071
139	499	3066
140	502	3061
141	507	3063
142	511	3067
143	515	3062
144	518	3059
145	521	3052
146	526	3057
147	531	3058
148	534	3053
149	539	3057
150	544	3062
151	548	3060
152	553	3063
153	558	3069
154	562	3067
155	566	3064
156	570	3064
157	574	3060
158	579	3066
159	584	3066
160	586	3058
161	589	3051
162	593	3045
163	596	3040
164	599	3033
165	603	3033
166	606	3026
167	611	3027
168	614	3020
169	617	3014
170	620	3007
171	623	3002
172	628	3002
173	632	3004
174	635	2997
175	639	2991
176	641	2985
177	644	2977
178	647	2970
179	650	2964
180	655	2965
181	658	2958
182	661	2951
183	664	2945
184	667	2939
185	670	2933
186	673	2928
187	676	2921
188	679	2916
189	682	2909
190	685	2903
191	688	2897
192	692	2896
193	695	2890
194	698	2884
195	702	2880
196	705	2874
197	708	2870
198	711	2865
199	714	2859
200	718	2855
201	721	2850
202	725	2847
203	728	2843
204	732	2839
205	735	2833
206	738	2828
207	742	2826
