iter	RMSE
0	0.4865818913
1	0.4798824647
2	0.4737536501
3	0.4673982254
4	0.4617800987
5	0.4564856271
6	0.4516010652
7	0.4467099432
8	0.4425982249
9	0.4388111333
10	0.4347820577
11	0.4313478228
12	0.4282842423
13	0.4256890452
14	0.4230313248
15	0.4203051569
16	0.4179591698
17	0.4158979392
18	0.4139760046
19	0.4120417737
20	0.4104819505
21	0.4088251088
22	0.4075463872
23	0.4059994432
24	0.4046503802
25	0.4032473917
26	0.4020251955
27	0.400589803
28	0.3996161936
29	0.3986958743
30	0.397759324
31	0.3970345523
32	0.3959829713
33	0.3953726527
34	0.3944992196
35	0.3937145418
36	0.3931293706
37	0.3925634204
38	0.3920285908
39	0.3913422507
40	0.390859658
41	0.3902135697
42	0.3896715971
43	0.3892617054
44	0.3885885434
45	0.3883069566
46	0.3879074803
47	0.3874855608
48	0.3870549153
49	0.3863614749
50	0.3860101598
51	0.3853968063
52	0.3850510138
53	0.3845800261
54	0.3843378458
55	0.3840032263
56	0.3837261682
57	0.383071044
58	0.3824895816
59	0.3820755555
60	0.3816531008
61	0.3811735414
62	0.3809361875
63	0.3806140075
64	0.3801381753
65	0.3796505721
66	0.3794466469
67	0.3789749294
68	0.3786974508
69	0.3784622584
70	0.3782001608
71	0.377769193
72	0.3772837343
73	0.3770673154
74	0.3768539875
75	0.3766010275
76	0.3763382158
77	0.3761786636
78	0.3758770653
79	0.3755104285
80	0.3753358722
81	0.375034392
82	0.374799852
83	0.3745908543
84	0.3740406374
85	0.3737786023
86	0.3735785317
87	0.3733671492
88	0.3730834223
89	0.3726576311
90	0.3725098028
91	0.3722437383
92	0.3718959191
93	0.371732472
94	0.3715449943
95	0.3713147124
96	0.37115874
97	0.3710409541
98	0.3707075446
99	0.370346837
100	0.3699547986
101	0.3696496891
102	0.3695481154
103	0.3693862827
104	0.3690434658
105	0.3690353675
106	0.3687439052
107	0.3685193998
108	0.368428675
109	0.3682934769
110	0.3677782456
111	0.3676359689
112	0.367320495
113	0.3670818486
114	0.3668447839
115	0.3666660853
116	0.3663603944
117	0.3661313627
118	0.3660042869
119	0.3658755179
120	0.365676798
121	0.3655071371
122	0.3651866224
123	0.3650658341
124	0.3649135458
125	0.3647004309
126	0.3645594246
127	0.364489925
128	0.3642200654
129	0.3639165981
130	0.3637430375
131	0.3635681463
132	0.3634207236
133	0.3633155404
134	0.362950994
135	0.3627627166
136	0.3625843435
137	0.3621997629
138	0.3619274162
139	0.3616585891
140	0.3614246504
141	0.361326738
142	0.3611691088
143	0.3609748825
144	0.3608249388
145	0.3605624197
146	0.3603792581
147	0.3600831093
148	0.3599212182
149	0.3597893714
150	0.3595986009
151	0.3595044568
152	0.3592402128
153	0.3590278349
154	0.3588023001
155	0.3585630503
156	0.3582929055
157	0.3579788601
158	0.3578280577
159	0.3576080552
160	0.3575070487
161	0.3573966331
162	0.3571910011
163	0.3571547291
164	0.3569096895
165	0.3567912404
166	0.3566156093
167	0.3565480778
168	0.3562751678
169	0.3560414741
170	0.3559388229
171	0.3557220795
172	0.355482649
173	0.3552712869
174	0.3550431435
175	0.3548117905
176	0.3544404112
177	0.3543106407
178	0.3542173657
179	0.3540513593
180	0.3537814688
181	0.3536657166
182	0.353298041
183	0.3531609961
184	0.3530987154
185	0.3529512751
186	0.3527017358
187	0.3525672636
188	0.3524524076
189	0.352209596
190	0.3519791349
191	0.3517608387
192	0.3515451826
193	0.3512850916
194	0.35118595
195	0.3509844088
196	0.3507625289
197	0.3506730098
198	0.3504526195
199	0.3502461127
200	0.3501476792
201	0.3500176761
202	0.3497852509
203	0.3495729483
204	0.3494081129
205	0.3493308789
206	0.3492833797
207	0.3491745676
208	0.3491250249
209	0.3489183624
210	0.3487728561
211	0.3485718232
212	0.3484450784
213	0.348245127
214	0.3480429402
215	0.3479340177
216	0.3477284442
217	0.347620832
218	0.3474646074
219	0.3473318608
220	0.3471827642
221	0.3468858185
222	0.3468160462
223	0.3465166011
224	0.3463107113
225	0.3460873096
226	0.3459528545
227	0.3458402719
228	0.3456490892
229	0.3453893682
230	0.345127075
231	0.3449670143
232	0.3448573732
233	0.3447605194
