iter	Passed	Remaining
0	162	161937
1	205	102441
2	216	72037
3	229	57197
4	241	48079
5	300	49731
6	312	44293
7	324	40259
8	336	36999
9	349	34553
10	402	36189
11	413	34035
12	424	32200
13	434	30620
14	444	29175
15	454	27953
16	465	26898
17	476	25983
18	489	25295
19	503	24651
20	553	25792
21	563	25050
22	623	26504
23	652	26544
24	666	25990
25	678	25417
26	737	26577
27	750	26043
28	761	25491
29	774	25050
30	785	24557
31	849	25689
32	861	25249
33	873	24814
34	885	24414
35	896	24015
36	995	25903
37	1009	25550
38	1021	25178
39	1035	24854
40	1048	24526
41	1061	24219
42	1071	23854
43	1082	23517
44	1091	23168
45	1102	22870
46	1115	22612
47	1127	22359
48	1149	22300
49	1163	22099
50	1173	21841
51	1185	21606
52	1202	21479
53	1216	21304
54	1229	21120
55	1241	20935
56	1254	20758
57	1267	20579
58	1278	20398
59	1292	20246
60	1305	20095
61	1317	19938
62	1329	19774
63	1340	19610
64	1352	19461
65	1364	19315
66	1377	19179
67	1387	19015
68	1397	18861
69	1410	18736
70	1422	18616
71	1435	18504
72	1448	18388
73	1458	18249
74	1468	18108
75	1478	17970
76	1488	17841
77	1497	17704
78	1507	17571
79	1516	17441
80	1525	17309
81	1535	17184
82	1544	17061
83	1553	16939
84	1562	16820
85	1571	16700
86	1580	16588
87	1589	16478
88	1599	16367
89	1607	16257
90	1616	16150
91	1625	16047
92	1635	15953
93	1644	15853
94	1653	15753
95	1669	15717
96	1681	15649
97	1695	15603
98	1709	15559
99	1722	15499
100	1731	15411
101	1740	15323
102	1750	15241
103	1759	15159
104	1770	15087
105	1780	15012
106	1789	14933
107	1798	14858
108	1808	14786
109	1818	14715
110	1828	14643
111	1840	14595
112	1854	14555
113	1866	14506
114	1878	14458
115	1893	14428
116	1907	14392
117	1918	14337
118	1929	14287
119	1941	14237
120	1951	14178
121	1962	14126
122	1974	14077
123	1985	14029
124	1997	13980
125	2008	13935
126	2020	13888
127	2031	13839
128	2041	13786
129	2056	13762
130	2067	13717
131	2079	13675
132	2090	13630
133	2101	13583
134	2112	13538
135	2124	13499
